,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,,"Yes",2010,0.00,,
,,,,,,,"Total",2010,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2010,0.00,,
,,,,,,,"Total",2010,0.00,,
,,,,,"Total","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",9031,0.00,,
,,,,,,,"Total",9031,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",9031,0.00,,
,,,,,,,"Total",9031,0.00,,
,,,"West Midlands (E12000005)","Less than £50","Social renting","Working-age","No or none",1980,0.00,,
,,,,,,,"Yes",5121,0.00,,
,,,,,,,"Total",7101,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1980,0.00,,
,,,,,,,"Yes",5121,0.00,,
,,,,,,,"Total",7101,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",902,0.00,,
,,,,,,,"Yes",5018,0.00,,
,,,,,,,"Total",5920,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",902,0.00,,
,,,,,,,"Yes",5018,0.00,,
,,,,,,,"Total",5920,0.00,,
,,,,,"Owned outright","Working-age","No or none",3893,0.00,,
,,,,,,,"Yes",3770,0.00,,
,,,,,,,"Total",7663,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3893,0.00,,
,,,,,,,"Yes",3770,0.00,,
,,,,,,,"Total",7663,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",3872,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3872,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3872,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3872,0.00,,
,,,,,"Total","Working-age","No or none",10647,0.00,,
,,,,,,,"Yes",13909,0.00,,
,,,,,,,"Total",24556,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",10647,0.00,,
,,,,,,,"Yes",13909,0.00,,
,,,,,,,"Total",24556,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",3466,0.00,,
,,,,,,,"Yes",1305,0.00,,
,,,,,,,"Total",4771,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3466,0.00,,
,,,,,,,"Yes",1305,0.00,,
,,,,,,,"Total",4771,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1971,0.00,,
,,,,,,,"Total",1971,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1971,0.00,,
,,,,,,,"Total",1971,0.00,,
,,,,,"Owned outright","Working-age","No or none",1385,0.00,,
,,,,,,,"Yes",2756,0.00,,
,,,,,,,"Total",4141,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1385,0.00,,
,,,,,,,"Yes",2756,0.00,,
,,,,,,,"Total",4141,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",4851,0.00,,
,,,,,,,"Yes",6032,0.00,,
,,,,,,,"Total",10883,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4851,0.00,,
,,,,,,,"Yes",6032,0.00,,
,,,,,,,"Total",10883,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",24259,0.00,,
,,,,,,,"Yes",3859,0.00,,
,,,,,,,"Total",28118,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",24259,0.00,,
,,,,,,,"Yes",3859,0.00,,
,,,,,,,"Total",28118,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2145,0.00,,
,,,,,,,"Total",2145,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2145,0.00,,
,,,,,,,"Total",2145,0.00,,
,,,,,"Owned outright","Working-age","No or none",1066,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1066,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1066,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1066,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",25325,0.00,,
,,,,,,,"Yes",6004,0.00,,
,,,,,,,"Total",31329,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",25325,0.00,,
,,,,,,,"Yes",6004,0.00,,
,,,,,,,"Total",31329,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",4928,0.00,,
,,,,,,,"Yes",14270,0.00,,
,,,,,,,"Total",19198,0.00,,
,,,,,,"Pensioner (spa)","No or none",998,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",998,0.00,,
,,,,,,"Total","No or none",5926,0.00,,
,,,,,,,"Yes",14270,0.00,,
,,,,,,,"Total",20196,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1960,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1960,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1960,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1960,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1748,0.00,,
,,,,,,,"Total",1748,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1748,0.00,,
,,,,,,,"Total",1748,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",3883,0.00,,
,,,,,,,"Total",3883,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",3883,0.00,,
,,,,,,,"Total",3883,0.00,,
,,,,,"Total","Working-age","No or none",6888,0.00,,
,,,,,,,"Yes",19901,0.00,,
,,,,,,,"Total",26789,0.00,,
,,,,,,"Pensioner (spa)","No or none",998,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",998,0.00,,
,,,,,,"Total","No or none",7886,0.00,,
,,,,,,,"Yes",19901,0.00,,
,,,,,,,"Total",27787,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",2239,0.00,,
,,,,,,,"Yes",7304,0.00,,
,,,,,,,"Total",9543,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2239,0.00,,
,,,,,,,"Yes",7304,0.00,,
,,,,,,,"Total",9543,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",976,0.00,,
,,,,,,,"Yes",1385,0.00,,
,,,,,,,"Total",2361,0.00,,
,,,,,,"Pensioner (spa)","No or none",929,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",929,0.00,,
,,,,,,"Total","No or none",1905,0.00,,
,,,,,,,"Yes",1385,0.00,,
,,,,,,,"Total",3290,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1411,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1411,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1411,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1411,0.00,,
,,,,,"Total","Working-age","No or none",4626,0.00,,
,,,,,,,"Yes",8689,0.00,,
,,,,,,,"Total",13315,0.00,,
,,,,,,"Pensioner (spa)","No or none",929,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",929,0.00,,
,,,,,,"Total","No or none",5555,0.00,,
,,,,,,,"Yes",8689,0.00,,
,,,,,,,"Total",14244,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",2100,0.00,,
,,,,,,,"Yes",3828,0.00,,
,,,,,,,"Total",5928,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2100,0.00,,
,,,,,,,"Yes",3828,0.00,,
,,,,,,,"Total",5928,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",3526,0.00,,
,,,,,,,"Total",3526,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",3526,0.00,,
,,,,,,,"Total",3526,0.00,,
,,,,,"Owned outright","Working-age","No or none",945,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",945,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",945,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",945,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",950,0.00,,
,,,,,,,"Total",950,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",950,0.00,,
,,,,,,,"Total",950,0.00,,
,,,,,"Total","Working-age","No or none",3045,0.00,,
,,,,,,,"Yes",8304,0.00,,
,,,,,,,"Total",11349,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3045,0.00,,
,,,,,,,"Yes",8304,0.00,,
,,,,,,,"Total",11349,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",5800,0.00,,
,,,,,,,"Yes",18066,0.00,,
,,,,,,,"Total",23866,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",729,0.00,,
,,,,,,,"Total",729,0.00,,
,,,,,,"Total","No or none",5800,0.00,,
,,,,,,,"Yes",18795,0.00,,
,,,,,,,"Total",24595,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2665,0.00,,
,,,,,,,"Total",2665,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2665,0.00,,
,,,,,,,"Total",2665,0.00,,
,,,,,"Owned outright","Working-age","No or none",5890,0.00,,
,,,,,,,"Yes",7879,0.00,,
,,,,,,,"Total",13769,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5890,0.00,,
,,,,,,,"Yes",7879,0.00,,
,,,,,,,"Total",13769,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",912,0.00,,
,,,,,,,"Total",912,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",912,0.00,,
,,,,,,,"Total",912,0.00,,
,,,,,"Total","Working-age","No or none",11690,0.00,,
,,,,,,,"Yes",29522,0.00,,
,,,,,,,"Total",41212,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",729,0.00,,
,,,,,,,"Total",729,0.00,,
,,,,,,"Total","No or none",11690,0.00,,
,,,,,,,"Yes",30251,0.00,,
,,,,,,,"Total",41941,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",5365,0.00,,
,,,,,,,"Yes",4142,0.00,,
,,,,,,,"Total",9507,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",940,0.00,,
,,,,,,,"Total",940,0.00,,
,,,,,,"Total","No or none",5365,0.00,,
,,,,,,,"Yes",5082,0.00,,
,,,,,,,"Total",10447,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2665,0.00,,
,,,,,,,"Total",2665,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2665,0.00,,
,,,,,,,"Total",2665,0.00,,
,,,,,"Owned outright","Working-age","No or none",2132,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2132,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2132,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2132,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1026,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1026,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1026,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1026,0.00,,
,,,,,"Total","Working-age","No or none",8523,0.00,,
,,,,,,,"Yes",6807,0.00,,
,,,,,,,"Total",15330,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",940,0.00,,
,,,,,,,"Total",940,0.00,,
,,,,,,"Total","No or none",8523,0.00,,
,,,,,,,"Yes",7747,0.00,,
,,,,,,,"Total",16270,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",3206,0.00,,
,,,,,,,"Yes",1188,0.00,,
,,,,,,,"Total",4394,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3206,0.00,,
,,,,,,,"Yes",1188,0.00,,
,,,,,,,"Total",4394,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",929,0.00,,
,,,,,,,"Yes",754,0.00,,
,,,,,,,"Total",1683,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",929,0.00,,
,,,,,,,"Yes",754,0.00,,
,,,,,,,"Total",1683,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",4135,0.00,,
,,,,,,,"Yes",1942,0.00,,
,,,,,,,"Total",6077,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4135,0.00,,
,,,,,,,"Yes",1942,0.00,,
,,,,,,,"Total",6077,0.00,,
,,,"East (E12000006)","Less than £50","Social renting","Working-age","No or none",5860,0.00,,
,,,,,,,"Yes",1424,0.00,,
,,,,,,,"Total",7284,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5860,0.00,,
,,,,,,,"Yes",1424,0.00,,
,,,,,,,"Total",7284,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2668,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2668,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2668,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2668,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",6569,0.00,,
,,,,,,,"Total",6569,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",6569,0.00,,
,,,,,,,"Total",6569,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1076,0.00,,
,,,,,,,"Total",1076,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1076,0.00,,
,,,,,,,"Total",1076,0.00,,
,,,,,"Total","Working-age","No or none",8528,0.00,,
,,,,,,,"Yes",9069,0.00,,
,,,,,,,"Total",17597,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",8528,0.00,,
,,,,,,,"Yes",9069,0.00,,
,,,,,,,"Total",17597,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",2766,0.00,,
,,,,,,,"Yes",1746,0.00,,
,,,,,,,"Total",4512,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2766,0.00,,
,,,,,,,"Yes",1746,0.00,,
,,,,,,,"Total",4512,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1519,0.00,,
,,,,,,,"Total",1519,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1519,0.00,,
,,,,,,,"Total",1519,0.00,,
,,,,,"Owned outright","Working-age","No or none",934,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",934,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",934,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",934,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1369,0.00,,
,,,,,,,"Yes",1751,0.00,,
,,,,,,,"Total",3120,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1369,0.00,,
,,,,,,,"Yes",1751,0.00,,
,,,,,,,"Total",3120,0.00,,
,,,,,"Total","Working-age","No or none",5069,0.00,,
,,,,,,,"Yes",5016,0.00,,
,,,,,,,"Total",10085,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5069,0.00,,
,,,,,,,"Yes",5016,0.00,,
,,,,,,,"Total",10085,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",4748,0.00,,
,,,,,,,"Yes",902,0.00,,
,,,,,,,"Total",5650,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4748,0.00,,
,,,,,,,"Yes",902,0.00,,
,,,,,,,"Total",5650,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1681,0.00,,
,,,,,,,"Total",1681,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1681,0.00,,
,,,,,,,"Total",1681,0.00,,
,,,,,"Owned outright","Working-age","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2073,0.00,,
,,,,,,,"Total",2073,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2073,0.00,,
,,,,,,,"Total",2073,0.00,,
,,,,,"Total","Working-age","No or none",5667,0.00,,
,,,,,,,"Yes",4656,0.00,,
,,,,,,,"Total",10323,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5667,0.00,,
,,,,,,,"Yes",4656,0.00,,
,,,,,,,"Total",10323,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",2662,0.00,,
,,,,,,,"Yes",8207,0.00,,
,,,,,,,"Total",10869,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2662,0.00,,
,,,,,,,"Yes",8207,0.00,,
,,,,,,,"Total",10869,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2281,0.00,,
,,,,,,,"Total",2281,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2281,0.00,,
,,,,,,,"Total",2281,0.00,,
,,,,,"Owned outright","Working-age","No or none",2154,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2154,0.00,,
,,,,,,"Pensioner (spa)","No or none",814,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",814,0.00,,
,,,,,,"Total","No or none",2968,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2968,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",3429,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3429,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3429,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3429,0.00,,
,,,,,"Total","Working-age","No or none",8245,0.00,,
,,,,,,,"Yes",10488,0.00,,
,,,,,,,"Total",18733,0.00,,
,,,,,,"Pensioner (spa)","No or none",814,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",814,0.00,,
,,,,,,"Total","No or none",9059,0.00,,
,,,,,,,"Yes",10488,0.00,,
,,,,,,,"Total",19547,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",1258,0.00,,
,,,,,,,"Yes",3267,0.00,,
,,,,,,,"Total",4525,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1258,0.00,,
,,,,,,,"Yes",3267,0.00,,
,,,,,,,"Total",4525,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1442,0.00,,
,,,,,,,"Total",1442,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
